Tweet Link,Author Handle,Tweet Content,Views,Likes,Retweets,Replies,Tweet Creation Date,Scraped Date
https://x.com/JeSuis34C/status/2041863633861538262,JeSuis34C," NEW Lego Style Music Video from Iran via PersiaBoi Studios

Titled: Black Flags Rise

This one honors the School Children of Minab . Powerful bars.",117461,2732,1189,41,2026-04-08T13:00:00+00:00,2026-04-09T17:38:37.219558+00:00
https://x.com/TimChowd/status/2042070899965165856,TimChowd,"NEW LEGO MOVIE

BASES DOWN",66146,3160,1356,43,2026-04-09T02:43:37+00:00,2026-04-09T17:38:07.325833+00:00
https://x.com/TheBirmingham6/status/2042053957279735972,TheBirmingham6,"“You crash the world/just to buy the dip” 

What a bar. Looks like 1,000 AI Lego videos are blooming.",85593,3138,717,53,2026-04-09T01:36:17+00:00,2026-04-09T17:38:07.325833+00:00
https://x.com/mannaggiaDegll/status/2042065999323644071,mannaggiaDegll," NEW Lego Style Music Video from Iran via PersiaBoi Studios

Titled: Bases Down

Oh My God ",40494,1294,585,21,2026-04-09T02:24:08+00:00,2026-04-09T17:30:07.166039+00:00
https://x.com/RHJOfficial/status/2041719028344091029,RHJOfficial, The LEGO TACO Movie already dropped.,91640,2359,752,37,2026-04-08T03:25:24+00:00,2026-04-09T17:28:37.656478+00:00
https://x.com/RHJOfficial/status/2041665521125363881,RHJOfficial,"Trump has agreed to all 10 of Iran’s conditions. and he only had one demand of his own:
That Explosive Media stops calling him a Loser.

So we officially announce that we will no longer call Trump a Loser, and giving him a new title:
from now on, he’s TACO.",29411,3403,710,189,2026-04-07T23:52:47+00:00,2026-04-09T17:28:37.656478+00:00
https://x.com/RHJOfficial/status/2041649688999260176,RHJOfficial,"It looks like Trump has accepted all ten of Iran’s conditions to end the war.

He’s also apparently going to negotiate with Iran just to get Explosive Media to stop trolling him and calling him a L.O.S.E.R.",27805,2387,442,127,2026-04-07T22:49:52+00:00,2026-04-09T17:28:37.656478+00:00
https://x.com/RHJOfficial/status/2041585533625745563,RHJOfficial,"New LEGO-style animation. Out tonight.

Blackout!",42947,2663,644,58,2026-04-07T18:34:56+00:00,2026-04-09T17:28:37.656478+00:00
https://x.com/RGemmell75/status/2042070899965165856,RGemmell75,"NEW LEGO MOVIE

BASES DOWN",65816,3128,1345,43,2026-04-09T02:43:37+00:00,2026-04-09T17:27:07.177226+00:00
https://x.com/mannaggiaDegll/status/2042149309588590937,mannaggiaDegll,Wow this was the most brutal cooking of Epstein class. Iranians taking the LEGO movies next level everday ,231786,10210,3755,182,2026-04-09T07:55:11+00:00,2026-04-09T17:26:37.532978+00:00
https://x.com/DenyThemEssence/status/2042051887558431135,DenyThemEssence," New LEGO clip: “We Will Fulfill Our Duty To Lebanon”

The scene in the LEGO clip is a tribute to a real family that was killed in today’s Israeli airstrikes on Beirut.

A mother and her children were murdered by Israel in the attack.",35367,1673,673,30,2026-04-09T01:28:04+00:00,2026-04-09T17:24:07.547335+00:00
https://x.com/DenyThemEssence/status/2042020050719092836,DenyThemEssence,"NEW : Lego Style Video from Explosive Media in Iran Promising a Response to Lebanon from Iran 

Captioned: 
Your blood is our blood  
Your children are our children  
We will never abandon Lebanon  
Wait just a little...",47779,1204,503,22,2026-04-08T23:21:33+00:00,2026-04-09T17:24:07.547335+00:00
https://x.com/DenyThemEssence/status/2042005752173178992,DenyThemEssence,"Iran's Explosive Media Team Puts Out Message to Lebanon in a New Lego Short

Captioned: We shall not abandon Lebanon Wait a little...",85921,2015,646,21,2026-04-08T22:24:44+00:00,2026-04-09T17:24:07.547335+00:00
https://x.com/DenyThemEssence/status/2041974378284347597,DenyThemEssence,"We have no knowledge of any cryptocurrency created in our name and are not associated with it in any way.
Please obtain all information about Explosive Media only through our official page.",10562,754,158,16,2026-04-08T20:20:04+00:00,2026-04-09T17:24:07.547335+00:00
https://x.com/DenyThemEssence/status/2041833439041884189,DenyThemEssence,"THE MEME MACHINE
The US and Israel are literally defenceless in the meme war

The Iranian war propaganda is beating the pants off the US opposition. Their Lego memes have become legendary. Iranian embassies throughout the world are competing against each other. They've won the",28899,2190,790,68,2026-04-08T11:00:01+00:00,2026-04-09T17:24:07.547335+00:00
https://x.com/DenyThemEssence/status/2042210923369165181,DenyThemEssence,"The most SAVAGE Lego Music video Dropped

Allegedly everything in this video.",91386,2901,1030,81,2026-04-09T12:00:01+00:00,2026-04-09T17:23:37.699301+00:00
https://x.com/DenyThemEssence/status/2042209961648722087,DenyThemEssence,"Your favorite part of the day just dropped…

Iran just released its newest LEGO‑bomb",12625,729,262,24,2026-04-09T11:56:11+00:00,2026-04-09T17:23:37.699301+00:00
https://x.com/DenyThemEssence/status/2040549645214966093,DenyThemEssence,"New: Lego Style Music Video on Trump

Reggae Song Titled: ""Just Coffee""

This one is WILD. I cant find the original create pleasae tag them if you know them",36820,1352,638,38,2026-04-04T21:58:41+00:00,2026-04-09T17:23:37.699301+00:00
